facility,region,specialties,procedures,equipment,capabilities,numberDoctors,capacity
Achimota Hospital,,['internalMedicine'],[],[],"['Organization name: ACHIMOTA HOSPITAL', 'Organization abbreviation: ACHS', 'City: ACCRA', 'Country: Ghana', 'Last updated: 17 April 2025']",,
Acrecity Medics,,"['gynecologyAndObstetrics', 'pediatrics', 'internalMedicine', 'ophthalmology', 'generalSurgery', 'radiology', 'pathology']","['Offers GP & Specialist Clinics', 'Provides diagnostic imaging services', 'Provides in-house laboratory services']",[],"['Serves Airport City and the Greater Accra Metropolis', 'Specialist clinics include Obstetrics & Gynaecology, Paediatrics, ENT, Internal Medicine, Clinical Psychology, Ophthalmology, Dermatology, and Dietetics', 'In-house pharmacists provide complimentary tailored medication consultations and drug interaction checks', 'On-site dispensary available']",,
Acres Medical Centre,,"['internalMedicine', 'pediatrics']",['Offers pediatric consultations'],[],['Identified as a primary hospital'],,
Adabraka Polyclinic (Ridge Hospital OPD),,['internalMedicine'],[],[],['Offers internal medicine services'],,
Adansi Comunity Clinic,,['internalMedicine'],['Provides general medical services'],[],"['Government-owned health center', 'NHIS accredited']",,
Adenta Clinic,,['internalMedicine'],[],[],[],,
Adidome Government Hospital,Central Tongu District,['internalMedicine'],[],[],"['Operates as a typical district hospital', 'Located in the Central Tongu District, Republic of Ghana']",,
Adiebeba Specialist Hospital,,"['internalMedicine', 'gynecologyAndObstetrics', 'generalSurgery', 'emergencyMedicine', 'radiology', 'pediatrics', 'pathology']","['Conducts cervical cancer screening, vaccination, and treatment', 'Offers breast cancer screening, vaccination, and treatment of all stages', 'Provides comprehensive eye care with vision examinations', 'Undertakes all aspects of surgical procedures in the surgery department', 'Offers urology services', 'Provides obstetrics and gynecology services', 'Operates a 24-hour emergency department with sophisticated interventions', 'Offers ultrasound (USG) and electrocardiography (ECG) services', 'Provides pediatrics (child welfare) services for neonates, infants, children, and adolescents', 'Conducts laboratory investigations', 'Dispenses drugs through pharmacy services to in-patients and out-patients']","['Utilizes ultramodern equipment', 'Employs state-of-the-art technology']","['Pioneers in private sector healthcare delivery in Ghana', 'Open 24/7 with a 24-hour emergency department', 'Available seven days a week with around-the-clock operations', 'Provides clinical and nursing care to international standards', 'Includes departments for Eye Care, Cervical Cancer, Breast Care, Mental Health, Laboratory, Surgery, Urology, Emergency, USG and ECG Services, Obstetrics and Gynecology, Pharmacy, and Pediatrics']",,
"Adiebebahospital - No. 4 Melcom road, Ahodwo, Ghana",,['pediatrics'],['Operates a child welfare clinic'],[],['Provides pediatric services'],,
Adjoum Community Clinic,Western,[],[],[],"['Private clinic located in Western region, Adjoum, Ghana']",,
Adum Banso Community Clinic,Western Region,['internalMedicine'],[],[],"['Operates as a health center', 'Owned by the government', 'Accredited by NHIS', 'Provides general medical services']",,
Adumkrom PHC Clinic,Western,['internalMedicine'],[],[],"['Adumkrom PHC Clinic is a private clinic in Western, Adumkrom, Ghana.']",,
Advocate Healthcare,,"['internalMedicine', 'dentistry', 'pathology']","['Offers General Medical services', 'Offers Dental services']","['Has an in-house Dental Lab', 'Has an in-house Medical Lab', 'Has an on-site Pharmacy']",[],,
Afamaso Maternity Home,Ashanti,['gynecologyAndObstetrics'],[],[],"['Provides quality maternal care in a supportive environment', 'Registered with GhanaYello on 12 Apr, 2018']",,
Aframso Health Centre,,['internalMedicine'],[],[],"['Provides general health services', 'Is a government-owned health centre', 'Has NHIS accreditation']",,
"African Vision Clinic - Adenta Housing down, Accra, Ghana",,"['ophthalmology', 'gynecologyAndObstetrics']","['Offers gynecological services', 'Provides obstetric care', 'Conducts ophthalmological examinations']",[],"['Has a maternity clinic', 'Offers health and medical services', 'Provides alternative medicines', 'Offers medical supply and engineering services']",,
Agogo Hospital,,['internalMedicine'],[],[],['Offers internal medicine services'],,
"Agogo Presbyterian Hospital, Asante Akim North, Agogo",Ashanti Region,['internalMedicine'],[],[],"['Established on 21 March 1931', 'Oldest Mission Hospital in Ghana', 'Ranks second to Komfo Anokye Teaching Hospital in terms of performance outputs in the Ashanti Region', 'Operates 24/7']",,
Agyakwa Hospital,,['internalMedicine'],[],[],"['Located in Nkawkaw, Ghana', 'Always open']",,
Agyakwa Hospital - Nkawkaw,,['internalMedicine'],[],[],['Offers health and medical center services'],,
Ahenema Kokoben Health Centre,,['internalMedicine'],[],[],"['Classified as a hospital on Facebook', 'Located in Kumasi, Ghana', 'Indicated to be always open']",,
Ahmadiyya Muslim Hospital Asokore Ashanti,,['internalMedicine'],[],[],['Is noted for good hospitality and better services'],,
"Ahmadiyya Muslim Hospital, Techiman",Bono East Region,"['gynecologyAndObstetrics', 'pediatrics', 'generalSurgery', 'emergencyMedicine', 'pathology', 'internalMedicine']","['Provides Maternal and Child Health Service', 'Provides Maternal and Reproductive Health Service', 'Provides General OPD services', 'Provides Ward admission and Inpatients care', 'Provides Theatre services', 'Offers ART and HIV Unit']","['Has Laboratory Unit', 'Has Theatre Unit', 'Has Maternity Unit', 'Has Male and Female Ward', ""Has Children's Ward"", 'Has Emergency Ward', 'Has OPD Unit', 'Has Account / Claims Unit', 'Has Administration Unit', 'Has Health Information Unit', 'Has Pharmacy Unit', 'Has Transport Unit', 'Has Security Unit']","['Has 100-bed capacity', 'Provides primary health care services', 'Operates 24 hours daily', 'Member of Ahmadiyya Muslim Health Service, Ghana']",,100-bed capacity
Ahmadiyya Muslim Mission Hospital,Western Region,['internalMedicine'],['Provides general medical services'],[],"['Type: Primary Hospital', 'Ownership: Mission', 'NHIS accredited: yes']",,
AIH lab & X-ray Center,,"['pathology', 'radiology']","['Performs medical laboratory tests', 'Provides X-ray imaging services', 'Provides ultrasound scans']",[],[],,
Airport Women's Hospital,Accra,"['gynecologyAndObstetrics', 'pediatrics']",[],[],"['Offers gynecology and obstetrics services', 'Provides pediatric care', 'Delivers internal medicine services']",,
Aisha Hospital,,"['internalMedicine', 'generalSurgery', 'gynecologyAndObstetrics', 'radiology', 'nephrology', 'emergencyMedicine', 'dentistry', 'anesthesia']","['Performs a comprehensive range of surgical procedures in the Surgical Department', 'Provides pre-hospital emergency care to accident victims and standby emergency coverage at mass gatherings', 'Offers diagnostic imaging procedures including X-ray, CT, MRI, ultrasound, and nuclear medicine']","['Imaging equipment includes X-ray machines, CT scanners, MRI scanners, ultrasound devices, and nuclear medicine imaging equipment']","['VIP department provides comprehensive and advanced care for VIP patients', 'Emergency care services including pre-hospital care and standby cover at mass gatherings', 'Diagnostic & Imaging Department provides imaging services', 'Renal and Dialysis Center available as a hospital department', 'Departments include General Medical Services, Surgical Department, Obstetrics & Gynecology, Ophthalmic and Eye Care, Stomatology (Dental Care), Renal & Dialysis Center, ENT Department, Diagnostic & Imaging Department, Anesthesia Department']",,
Ajumako Hospital,Central,['internalMedicine'],[],[],"['Is a government district hospital in Central, Ajumako, Ghana']",,
Akan Herbal Treatment Center,,[],['Provides traditional herbal medicine treatment for various ailments'],[],"['Is a herbal clinic offering traditional herbal medicine', 'Provides house-to-house service within Accra', 'Is always open']",,
Akatsi South Municipal Hospital,,"['gynecologyAndObstetrics', 'pediatrics', 'dentistry', 'infectiousDiseases', 'pathology', 'radiology', 'internalMedicine']","['Provides outpatient (OPD) services', 'Provides inpatient services', 'Provides laboratory services', 'Provides pharmacy and dispensing services', 'Provides ART (antiretroviral therapy) services', 'Provides public health services', 'Offers mental health services', 'Offers maternal and child health services']",[],"['Open 24 hours a day, 7 days a week', 'Specialized units include Dental, ENT and Eye', 'Diabetes/Hypertension (DM/HPT) clinic is available', 'Wellness clinic is available', 'Breast and cervical screening units are available', 'Upgraded to Municipal status in 2021', 'Established as a dental clinic in 1996', 'Upgraded to a health center in 1996', 'Upgraded to a district hospital in 2007']",,
Akcess Dental,,['dentistry'],['Provides general dentistry services'],[],['Offers dental services for families and institutions'],,
AKOMADE CLINIC,,['internalMedicine'],[],[],['Offers internal medicine services'],,
Akora Health Care,,[],[],[],[],,
Akrofrom Health Centre - Ghana,Ashanti Region,[],[],[],"['Government health centre located in Akrofrom, Ashanti Region, Ghana', 'Registered with GhanaYello on 12 Apr, 2018', 'Listed in GhanaYello categories including Doctors and Clinics, Hospitals, Medical Clinics, Health Care, Nursing and Care, and Rehabilitation Clinics']",,
Akwamuman Herbal Clinic,,[],['Treats all kinds and forms of diseases'],[],"['Operates as a specialized herbal clinic', 'Located at NEW AKRADE, Akosombo, Ghana', 'Always open']",,
Al-Ayar Hospital,Greater Accra,['internalMedicine'],[],[],['Offers internal medicine services'],,
Al-haq Herbal Center,Northern Region,[],[],[],['Identifies itself as a modern herbal clinic in Northern Ghana'],,
Alhaji Nuhu Memorial Healthcare Centre,Western Region,"['internalMedicine', 'emergencyMedicine', 'radiology', 'pathology', 'gynecologyAndObstetrics', 'familyMedicine']","['Provides emergency services', 'Offers outpatient care', 'Delivers inpatient care', 'Conducts diagnostic imaging services', 'Performs laboratory services', 'Offers maternity services', 'Provides mental health services', 'Offers family planning services', 'Provides wound care including treatment for cuts, burns, and dressing']",[],"['Provides emergency care', 'Offers both outpatient and inpatient services', 'Delivers diagnostic imaging services', 'Conducts laboratory services', 'Offers maternity care', 'Provides mental health services', 'Offers family planning and complex contraception services']",,
Alice Memorial Maternity Clinic - Ghana,Ashanti,['gynecologyAndObstetrics'],[],[],"['Alice Memorial Maternity Clinic is a private maternity home in Ashanti, Tepa, Ghana.', 'Registered with GhanaYello on 12 Apr, 2018.', 'Listed in the GhanaYello directory under Hospitals, Medical Clinics, Pregnancy and Child Birth, and Maternity Services.']",,
All Joy Dental Clinic,,['dentistry'],['Provides professional dental services'],[],[],,
All Smile Dental & Paediatric Centre,,"['dentistry', 'pediatrics']",[],[],"['Operates three branches: Dansoman, East Legon, and Tseado', 'Based in Accra, Ghana', 'Service-oriented dental practice with a focus on providing a great environment for dental needs']",,
All Smile Dental Clinic Dansoman Branch,,"['dentistry', 'pediatrics']","['Offers laser teeth whitening', 'Performs scaling and polishing (teeth cleaning)', 'Conducts surgical extraction of teeth', 'Provides dental braces (traditional, ceramic or Invisalign)', 'Creates dental crowns and bridges', 'Applies dental veneers', 'Administers fillings', 'Conducts root canal treatments', 'Implements dental implants']",['Uses state-of-the-art dental equipment and facilities'],"['Provides pediatric dentistry via Tooth Buds Paediatric Center', 'Employs certified dentists on staff', 'Accepts corporate health insurance cards', 'Focuses on preventive and curative dental services', 'Offers a child-friendly environment']",,
Allen Health Clinic - Ghana,Ashanti,['internalMedicine'],[],[],"['Allen Health Clinic is a government clinic located in Ashanti, Wamasi, Ghana.']",,
Allied Specialist Hospital,,['internalMedicine'],[],[],['Offers internal medicine services'],,
Alma Medical Laboratory,,"['pathology', 'radiology']","[""Offers home collection of laboratory samples performed by phlebotomists at the patient's preferred time""]",[],"['Provides Pathology, Radiology, and Doctor Consultation services', 'Offers over 4,000 tests/services', 'Has served over 1,000,000 patients', 'Has received 10 awards']",,
Alpha Medical Diagnostic Services,,['pathology'],[],[],"['Alpha Medical Diagnostic Services is a medical laboratory located in Kumasi, Ghana.']",,
Ama Dansowaa Maternity Home,,['gynecologyAndObstetrics'],"['Offers antenatal services', 'Provides post-natal care']",[],"['NHIS accredited', 'Private ownership']",,
Amang Health Centre,,"['internalMedicine', 'nephrology', 'cardiology']",[],[],"['Offers internal medicine services', 'Provides gastroenterology services', 'Offers dermatology services', 'Provides nephrology services', 'Offers cardiology services', 'Provides medical oncology services', 'Treats all kinds of medical health challenges', 'Provides health consultation services']",,
Amantenaman Health Centre,Ashanti,[],[],[],"['Public/government-owned health centre', 'Located in Ashanti, Nyinamponase, Ghana']",,
Amasaman Hospital,,['internalMedicine'],[],[],"['Listed as a local business on Facebook for Amasaman Hospital', 'Located in Accra, Ghana', 'Page indicates the hospital is always open', 'Facebook page created on June 25, 2012']",,
Amen Scientific Herbal Hospital,,[],[],[],"['Operates as a herbal and alternative medical hospital', 'Promotes holistic health and natural wellness solutions']",,
Amen Scientific Herbal Hospital – Klagon Branch,,['internalMedicine'],"['Provides phytotherapy', 'Provides naturopathy', 'Provides homeopathy']",[],"['Specializes in stroke, fertility and chronic diseases', 'Staffing includes dedicated skilled professionals']",,
American International Hospital,,"['internalMedicine', 'radiology', 'pathology']","['Performs medical lab tests', 'Offers X-ray imaging services', 'Provides ultrasound scans']","['Uses X-ray imaging equipment', 'Uses ultrasound imaging equipment', 'Utilizes medical laboratory equipment']",['Affiliated with American International Hospital'],,
American_Rejuvenation Clinic,Greater Accra,['internalMedicine'],"['Offers hormone replacement services', 'Provides general health services', 'Conducts preventive health assessments', 'Delivers anti-aging treatments', 'Implements health management programs']",[],"['Specializes in internal medicine', 'Offers services in preventive medicine', 'Provides endocrinology and diabetes management', 'Includes physical medicine and rehabilitation services']",,
Anane Aya Maternity Home,Ashanti,['gynecologyAndObstetrics'],[],[],"['Provides gynecology and obstetrics services', 'Offers maternity care']",,
Aneeja Hospital,,"['pediatrics', 'gynecologyAndObstetrics', 'plasticSurgery', 'generalSurgery', 'radiology', 'pathology', 'emergencyMedicine', 'internalMedicine', 'dentistry', 'ophthalmology']","['Provides obstetric deliveries in the delivery and lying-in ward', 'Offers In-Vitro Fertilization (IVF) procedures at an IVF Unit', 'Provides cosmetic and reconstructive surgical procedures', 'Performs general surgical procedures through the Surgery department']","['Operates two operating theatres with a recovery room', 'Medical imaging services include ultrasound and electrocardiography (ECG)', 'Has a well-equipped standard laboratory', 'Includes a treatment room']","['Emergency services operate 24/7', 'Overall bed capacity of 39 beds (VIP and common wards)', 'Has three paediatric wards (including one VIP) in the paediatric section', 'Includes a delivery ward and lying-in ward', 'Offers services for NHIS and other private insurance clients', 'Employs 87 French and Ghanaian medical professionals available 24/7']",,
Anfoega Catholic Hospital,Volta Region,[],[],[],['Part of the Catholic Health Service Trust (CHST) Hospitals'],,
Angela Catholic Clinic,Western Region,['internalMedicine'],[],[],['Offers internal medicine services'],,
Anhwiaso Health Centre,,['generalSurgery'],[],[],"['Government-owned health centre', 'Offers general medical services', 'NHIS accredited']",,
Ankaful Leprosy & General Hospital,KEEA,"['infectiousDiseases', 'gynecologyAndObstetrics']","['Specializes in leprosy and other skin conditions', 'Has an Antenatal Care (ANC) unit', 'Hosts Pregnancy School sessions for expectant mothers at the ANC unit']",[],"['Is a general hospital in Ankaful, Ghana', 'Next Pregnancy School session is scheduled for 21 March 2025', 'ANC unit provides education on antenatal care, nutrition, safe delivery, and newborn care']",,
Ankaful Psychiatric Hospital,,['internalMedicine'],[],[],"['Leading hospital in mental health care in Ghana and the Sub region', 'Designated as a Center of Excellence']",,
Anthon Memorial Hospital,,['internalMedicine'],[],[],['Primary healthcare facility'],,
Anwiam Hospital,,"['emergencyMedicine', 'internalMedicine', 'generalSurgery', 'gynecologyAndObstetrics', 'pathology', 'radiology']","['Provides 24/7 emergency care', 'Provides General Medical Services', 'Provides Internal Medicine', 'Provides Surgery', 'Provides Obstetrics and Gynecology', 'Provides Psychiatry', 'Provides Pain Medicine']","['Provides on-site laboratory and medical imaging services including Full blood count, ECG and Ultrasound']","['Offers 24-hour emergency care', 'Provides comprehensive internal medicine services', 'Offers surgical services', 'Provides obstetrics and gynecology services', 'Offers psychiatric services', 'Provides pain medicine services']",,
Anyaa Polyclinic,,['internalMedicine'],[],[],[],,
Anyinasuso Maternity Home,Ashanti,['gynecologyAndObstetrics'],"['Provides obstetric care', 'Offers maternity care services']",[],"['Specializes in gynecology and obstetrics', 'Operates as a private maternity home']",,
Anyinasusu SDA Centre,Ashanti,['internalMedicine'],[],[],"['Anyinasusu SDA Centre is a CHAG clinic in Ashanti, Ghana.']",,
"Apatrapa Hospital, Tepa, Ghana",,"['internalMedicine', 'radiology', 'cardiology', 'pathology']","['Offers ultrasound imaging (ultrasound scan)', 'Provides electrocardiogram (ECG)']",[],"['Provides internal medicine services', 'Offers radiology services', 'Provides cardiology services', 'Offers pathology services']",,
APOWA HEALTH CENTRE,,[],[],[],"['Offers general health services', 'NHIS accredited']",,
Ares Centre of Excellence - Ghana,,['internalMedicine'],[],[],"['Functions as a specialist referral hospital and medical logistics services provider', 'Operates in Ghana at the International Maritime Hospital, Tema']",,
Arthurs Clinic & Prostate Center,,[],['Specializes in prostate management and treatment'],[],"['Ultramodern health facility located in the heart of Accra', 'Uses natural health medications for all treatments']",,
Asafo Agyei Hospital Daban,,['internalMedicine'],[],[],[],,
Asafo Boakye Specialist Hospital,,['internalMedicine'],[],[],['Open 24 hours a day'],,
Asamang Seventh-day Adventist Hospital,,"['gynecologyAndObstetrics', 'internalMedicine']",[],[],"['Established in 1984', 'Has 108 patient beds', 'Organizational unit is Greater Kumasi Ghana Union Conference']",,
Asawinso Seventh-day Adventist Clinic,,[],[],[],[],,
Ashaiman - MDC,,['radiology'],"['Performs ultrasound imaging', 'Performs X-ray imaging', 'Performs ECG testing', 'Provides tele-radiology services']","['Ultrasound equipment', 'X-ray equipment', 'ECG equipment', 'Tele-radiology system']",['Ashaiman - MDC operates as a Medical Diagnostic Center in Ghana'],,
Asokore RCH,,"['gynecologyAndObstetrics', 'pediatrics', 'internalMedicine']",[],[],"['Offers maternal-fetal medicine or perinatology services', 'Provides pediatric care', 'Delivers internal medicine services', 'Open 24/7', 'Located in Koforidua, Ghana']",,
Assin Nyankomasi CHPS Compoun,,['internalMedicine'],[],[],[],,
Asuofua Gov. Health Centre,,['internalMedicine'],[],[],['Operates 24/7'],,
ATEBUBU DISTRICT HOSPITAL,Brong Ahafo Region,['generalSurgery'],[],[],"['ATEBUBU DISTRICT HOSPITAL is a primary hospital', 'Offers general medical services', 'NHIS accredited']",,
Atebubu Government Hospital,,['internalMedicine'],[],[],"['Offers internal medicine services', 'Always open']",,
Ateiku Christian Hospital,,['internalMedicine'],[],[],[],,
Atlantic Eye Clinic - ICare,,['ophthalmology'],"['Conducts daily eye consultations and treatments', 'Offers glaucoma screening', 'Performs eye surgeries', 'Provides refraction services']",[],"['Specializes in ophthalmology and glaucoma ophthalmology', 'Staff includes ophthalmologists, optometrists, and opticians']",,
Avril Clinic,Ashanti,['internalMedicine'],[],[],"['Private clinic located in Ashanti, Akaporiso, Ghana.', 'Registered with GhanaYello on 12 Apr, 2018.']",,
Awuradze A' Maternity Home,ASHANTI,['gynecologyAndObstetrics'],[],[],"['Licensed as a health center with a provisional license', 'Practitioner in-charge is Madam Grace Henrietta Marful', 'Located in the Ashanti Region, Kumasi Metropolitan District', 'License issued on September 24, 2019, and expired on March 23, 2020']",,
Awuss Health,,[],[],[],[],,
Axim Government Hospital,,['internalMedicine'],[],[],"['Operates as a government primary hospital', 'Located in Bokazo, Axim, Ghana', 'NHIS accredited']",,
Ayeduase Health Centre,,[],[],[],['Aims to promote good health and ensure access to quality and affordable healthcare.'],,
Ayifua Clinic,,['internalMedicine'],[],[],['Offers internal medicine services'],,
Azara Tampulimah Herbal Clinic,,[],['Uses natural extracts from plants (herbs) to treat diseases'],[],['Operates as a traditional health center'],,
Azimbe Hospital,,['internalMedicine'],[],[],[],,
"Baiden Ghartey Hospital, Pedu",,"['internalMedicine', 'pediatrics', 'gynecologyAndObstetrics']",['Has a Baby Clinic offering immunizations'],[],"['Listed as a hospital on Facebook', 'Always open']",,
BAMCEC (Bishop Ackon Memorial Christian Eye Centre),,['ophthalmology'],['Performs cataract and anterior segment surgery'],[],['Specializes in ophthalmology'],,
Banda Ahenkro Rural Clinic,,['internalMedicine'],[],[],"['Operates as a hospital', 'Located in Banda, Ghana', 'Open 24 hours a day']",,
Banhart Specialist Hospital,,"['internalMedicine', 'familyMedicine', 'emergencyMedicine', 'generalSurgery', 'gynecologyAndObstetrics', 'nephrology', 'pediatrics', 'ophthalmology', 'plasticSurgery', 'orthopedicSurgery', 'dentistry']","['Performs endoscopy procedures including diagnostic and therapeutic endoscopy', 'Conducts neurosurgery procedures', 'Offers general surgery procedures', 'Provides orthopedic and trauma surgery', 'Conducts obstetrics and gynecology procedures', 'Performs urology procedures', 'Offers ophthalmology (eye) procedures', 'Conducts plastic surgery procedures', 'Provides dental services procedures', 'Performs ENT (Ear, Nose, and Throat) procedures', 'Offers dialysis treatment', 'Provides antenatal and postnatal maternity care', 'Conducts physiotherapy sessions', 'Performs diagnostic imaging procedures including CT-Scan, 4D Ultrasound, Spirometry, X-ray, Fibro scan, Diagnostic Endoscopy, Therapeutic Endoscopy, Echocardiography, ECG, and Audiometry']","['Has CT-Scan imaging equipment', 'Uses 4D Ultrasound imaging equipment', 'Maintains Spirometry equipment', 'Operates X-ray imaging equipment', 'Uses Fibro scan equipment', 'Has Diagnostic Endoscopy equipment', 'Uses Therapeutic Endoscopy equipment', 'Operates Echocardiography equipment', 'Uses ECG equipment', 'Has Dental X-ray equipment', 'Uses Audiometry equipment']","['Offers 24/7 emergency service', 'Provides extensive laboratory services', 'Has pharmacy on site', 'Offers maternity (antenatal and postnatal care)', 'Provides neurosurgery service', 'Offers physiotherapy service', 'Has surgical specialties including Specialist Obstetrics and Gynecology, General Surgery, Plastic Surgery, Neurosurgery, Orthopedic and Trauma, Urology, Ophthalmology, Dental Services, and ENT', 'Has medical specialties including Family medicine, Cardiology, Gastroenterology, Neurology, Nephrology, Pulmonology, Endocrinology, Diet therapy, and Pediatrics', 'Has over 1000 happy patients']",,
Baptist Medical Centre,,"['gynecologyAndObstetrics', 'generalSurgery', 'internalMedicine']","['Offers gynecology and obstetrics services', 'Provides general surgery', 'Conducts internal medicine treatments']",[],"['Has a 300+ bed hospital', 'Serves tens of thousands of patients annually', 'Surgical department supported by visiting general surgeon Dr. Lisa Mohrman']",,
Barnor Memorial Hospital,,['familyMedicine'],[],[],"['Has over 65 years of experience in providing personalized and dedicated healthcare services', 'Specializes in family healthcare']",,
Bart-Plange Memorial Clinic,Greater Accra,['internalMedicine'],[],[],"['Bart-Plange Memorial Clinic is a private hospital located in Greater Accra, Agbogbloshie, Ghana.', 'Was registered with GhanaYello on 12 Apr, 2018.']",,
Battor Catholic Hospital,Volta,[],[],[],"['Listed as a CHST Hospital within the Catholic Health Service Trust, Ghana', 'Located in Battor in the North Tongu District, Volta Region, Ghana', 'Part of the Diocese of Accra']",,
Beaver Dental,,['dentistry'],[],[],"[""Beaver Dental operates in three locations: Accra-Airport Residential Area, Accra-Lapaz (St Michael's Specialist Hospital), and Kumasi-Ahodwo"", 'Beaver Dental serves over 10,000 clients', ""Beaver Dental is described as Ghana's premier dentistry provider"", 'Beaver Dental attracts clients from Liberia, Côte d’Ivoire, Togo, Benin, and Nigeria', 'Beaver Dental is described as the number one dental service in Ghana']",,
Beaver Medical,,"['dentistry', 'internalMedicine', 'emergencyMedicine']",[],[],"['Provides comprehensive medical services in Ghana', 'Expanding from dentistry into broader medical services', 'Has international recognition for its medical services', 'Positions itself as a seamless, comprehensive healthcare destination in West Africa', 'Attracts international clients seeking premium care', 'Offers emergency services available on Sundays and public holidays with advance arrangements', 'Collaborates with foreign and local insurance companies']",,
